["JarOfAir","Island"], "Shell", "Swim to the bottom of the bay and find a shell"
["PotionOfHealing"], "AnchorStaff", "A priest will give her/her staff to whoever can cure their spouses illness"
["RareHerb","Feather","Shell"], "PotionOfHealing", "Witchdoctor can brew up a healing potion... with enough ingredients."
["Book","RareHerb","Flower"], "PotionOfHealing", "You can cook up a potion of healing with sufficient research and preparation"
[], "RareHerb", "So the herb isn't all that Rare- you find one walking around."
["DoubleJump"], "RareHerb", "Retrieve some of the RareHerb from a treetop, just out of reach of passers by."
["Axe"], "RareHerb", "Cut through a thicket of brambles to find the RareHerb."
["HighPlace"], "RareHerb", "Find a strange plant at the top of a mountain."
["Book"], "RareHerb", "Using your knowledge and reading of herbology, you now have the knowledge to identify this rare and precious plant."
["RareHerb"], "GiantStrength", "Eat the herb, become strong like a giant!"
["GiantStrength"], "Diamond", "Bash open a boulder, retrieve the Diamond inside"
["Hammer"], "Diamond", "Bash open a boulder, retrieve the Diamond inside"
[], "GhostSpeak", "The first time the player dies, a nearby ghost shows up and brings you back, chatting to you in the process. You are informed that although you are now dead, your quest is not yet over."
["GreaseSpray","LightningSpell"], "FarPlace", "Repair the SteelChariot, and power it using lightning- it will take you far away."
["Diamond","Hammer"], "LightningSpell", "Shatter the Diamond, and gain the power of lightning"
["Feather","Shell","RareHerb"], "AnimalSpeak", "Complete the ritual in the forest- talk to the spirit wolf."
